BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
30283,4118776,30283,"Slope, Inverted 45 6 x 4 Double with 4 x 4 Cutout",9,7,Light Gray,Solid Colors,3,4.81
3030,303002,3030,Plate 4 x 10,9,7,Light Gray,Solid Colors,1,5.55
3033,303302,3033,Plate 6 x 10,9,7,Light Gray,Solid Colors,2,7.95
3036,303626,3036,Plate 6 x 8,11,0,Black,Solid Colors,2,6.4
3038,4173255,3038,Slope 45 2 x 3,9,7,Light Gray,Solid Colors,8,1.72
3039,303902,3039,Slope 45 2 x 2,9,7,Light Gray,Solid Colors,104,1.15
3040a,,3040a,Slope 45 2 x 1 without Bottom Tube,9,7,Light Gray,Solid Colors,24,0.64
3040,4121933,3040,Slope 45 2 x 1,9,7,Light Gray,Solid Colors,20,0.69
3067,,3067,Brick 1 x 6 without Bottom Tubes,85,72,Dark Bluish Gray,Solid Colors,8,2.5
3067,,3067,Brick 1 x 6 without Bottom Tubes,9,7,Light Gray,Solid Colors,13,2.5
3069b,306902,3069b,Tile 1 x 2 with Groove,9,7,Light Gray,Solid Colors,12,0.26
3069b,306901,3069b,Tile 1 x 2 with Groove,1,15,White,Solid Colors,2,0.26
3069b,306926,3069b,Tile 1 x 2 with Groove,11,0,Black,Solid Colors,4,0.26
3070b,307001,3070b,Tile 1 x 1 with Groove,1,15,White,Solid Colors,4,0.16
3070b,,3070b,Tile 1 x 1 with Groove,9,7,Light Gray,Solid Colors,4,0.16
32952,6228987,32952,"Brick, Modified 1 x 1 x 1 2/3 with Studs on Side",11,0,Black,Solid Colors,6,0.7
3298,329802,3298,Slope 33 3 x 2,9,7,Light Gray,Solid Colors,36,1.27
3622,362202,3622,Brick 1 x 3,9,7,Light Gray,Solid Colors,158,1.24
3622,362221,3622,Brick 1 x 3,5,4,Red,Solid Colors,4,1.24
3622,4211104,3622,Brick 1 x 3,85,72,Dark Bluish Gray,Solid Colors,40,1.24
3622,362201,3622,Brick 1 x 3,1,15,White,Solid Colors,4,1.24
3623,362302,3623,Plate 1 x 3,9,7,Light Gray,Solid Colors,6,0.53
3623,362301,3623,Plate 1 x 3,1,15,White,Solid Colors,14,0.53
3660,366002,3660,"Slope, Inverted 45 2 x 2 with Flat Bottom Pin",9,7,Light Gray,Solid Colors,102,1.25
3665,366502,3665,"Slope, Inverted 45 2 x 1",9,7,Light Gray,Solid Colors,68,0.66
3666,366602,3666,Plate 1 x 6,9,7,Light Gray,Solid Colors,6,1.06
3666,366626,3666,Plate 1 x 6,11,0,Black,Solid Colors,2,1.06
3710,371026,3710,Plate 1 x 4,11,0,Black,Solid Colors,8,0.71
3710,371002,3710,Plate 1 x 4,9,7,Light Gray,Solid Colors,5,0.71
3747b,,3747b,"Slope, Inverted 33 3 x 2 with Connections between Studs",9,7,Light Gray,Solid Colors,36,1.68
3795,379526,3795,Plate 2 x 6,11,0,Black,Solid Colors,8,1.74
3795,379502,3795,Plate 2 x 6,9,7,Light Gray,Solid Colors,2,1.74
4162,416226,4162,Tile 1 x 8,11,0,Black,Solid Colors,1,1.06
42023,4160404,42023,"Slope, Curved 6 x 1 Inverted",9,7,Light Gray,Solid Colors,2,1.92
4286,428602,4286,Slope 33 3 x 1,9,7,Light Gray,Solid Colors,12,0.98
4287,428702,4287,"Slope, Inverted 33 3 x 1",9,7,Light Gray,Solid Colors,14,0.94
44865,,44865,"Brick, Modified 1 x 2 with Pin and Bottom Stud Holder",1,15,White,Solid Colors,6,0.96
50950,4249112,50950,"Slope, Curved 3 x 1",1,15,White,Solid Colors,4,0.75
54200,,54200,Slope 30 1 x 1 x 2/3,9,7,Light Gray,Solid Colors,8,0.21
6005,,6005,Arch 1 x 3 x 2 Curved Top,9,7,Light Gray,Solid Colors,2,1
60477,,60477,Slope 18 4 x 1,9,7,Light Gray,Solid Colors,2,1.1
6112,,6112,Brick 1 x 12,9,7,Light Gray,Solid Colors,4,4.8
61678,,61678,"Slope, Curved 4 x 1",9,7,Light Gray,Solid Colors,2,0.8
63864,4558168,63864,Tile 1 x 3,1,15,White,Solid Colors,4,0.39
6541,654126,6541,"Technic, Brick 1 x 1 with Hole",11,0,Black,Solid Colors,12,0.38
6636,663626,6636,Tile 1 x 6,11,0,Black,Solid Colors,2,0.83
70681,,70681,Arch 1 x 3 Inverted,9,7,Light Gray,Solid Colors,2,0.72
crssprt01,,crssprt01,"Brick 1 x 8 without Bottom Tubes, with Cross Supports",5,4,Red,Solid Colors,2,3.11
92946,,92946,Slope 45 2 x 1 with 2/3 Cutout,9,7,Light Gray,Solid Colors,4,0.42
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
1749,2543.9,,,,,,,,
